Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,10uF,
"C2, C4",0603,2,100nF,
J1,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,Screw_Terminal_01x02,
"J2, J3, J4, J5, J7","TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal",5,Screw_Terminal_01x03,
J6,DSUB9_FEMALE_RIGHT-ANGLE-THT_2301844-1_TEC,1,DSUB9_FEMALE_RIGHT-ANGLE-THT_2301844-1_TEC,
"Q1, Q2",SOT-23,2,MMBT2222A,
"R1, R4, R6",0603,3,10K,
"R2, R3",0603,2,220,
"R7, R8",0603,2,20k,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U3,ESP32-S3-DevKitC,1,ESP32-S3-DevKitC,
